Actor_name,character_types,character,Freebase_character_ID,Freebase_actor_ID,Freebase_character/actor_map_ID,Actor_gender,Actor_age_at_movie_release,Actor_date_of_birth,Actor_height_(in meters),Actor_ethnicity_(Freebase ID),unique_character_name,movie,Wikipedia_movie_ID,Freebase_movie_ID
John Travolta,stupid_crooks,Vincent Vega,/m/030rbl,/m/0f502,/m/01xlj4l,M,,1954.0,1.83,/m/0xnvg,,Pulp Fiction,54173,/m/0f4_l
Harrison Ford,trickster,Han Solo,/m/0fjn8,/m/0c0k1,/m/01xpntj,M,37.0,1942.0,1.85,/m/01qhm_,Han Solo,Star Wars Episode V: The Empire Strikes Back,53964,/m/0f3m1
Jonathan Winters,dumb_muscle,Lennie Pike,/m/0h5n8k6,/m/01gn36,/m/01z0cck,M,37.0,1925.0,1.77,,,"It's a Mad, Mad, Mad, Mad World",18952889,/m/0k5fg
Eddie Murphy,henpecked_husband,Norbit,/m/02nwkcr,/m/0f7hc,/m/01z0rf5,M,45.0,1961.0,1.75,/m/0x67,,Norbit,7261333,/m/0kv2hv
Frank Whaley,crazy_jealous_guy,Guy,/m/02nwn16,/m/07sjll,/m/021_h9h,M,31.0,1963.0,1.71,,,Swimming with Sharks,1670736,/m/05m55b
Warren Oates,drill_sargeant_nasty,Sgt. Hulka,/m/07034y7,/m/049tcm,/m/022108v,M,52.0,1928.0,1.82,,,Stripes,560511,/m/02q2jw
Clancy Brown,arrogant_kungfu_guy,Kurgan,/m/02nwg1k,/m/03wy70,/m/02214xq,M,,1959.0,1.918,,,Highlander,4440277,/m/0c2jgd
Martin Lawrence,henpecked_husband,Bobby Davis,/m/0byd_9c,/m/02633g,/m/0256cyz,M,41.0,1965.0,1.71,/m/0x67,,Wild Hogs,5733558,/m/0f1vgm
Al Pacino,crazy_jealous_guy,Tony Montana,/m/02t4sm,/m/0bj9k,/m/02_8_nx,M,43.0,1940.0,1.7,/m/0xnvg,,Scarface,267848,/m/01nln3
Jon Heder,surfer_dude,Chicken Joe,/m/02_wz81,/m/04stzk,/m/02_wz7y,M,29.0,1977.0,1.85,,,Surf's Up,2811955,/m/08481w
Jeff Bridges,surfer_dude,Geek,/m/02_wz9x,/m/0flw6,/m/02_wz9s,M,57.0,1949.0,1.85,,,Surf's Up,2811955,/m/08481w
Daniel Craig,bruiser_with_a_soft_center,James Bond,/m/0clpml,/m/04shbh,/m/02hw79s,M,38.0,1968.0,1.78,/m/04_bc8,James Bond,Casino Royale,930379,/m/03r0g9
Daniel Craig,byronic_hero,James Bond,/m/0clpml,/m/04shbh,/m/02hw79s,M,38.0,1968.0,1.78,/m/04_bc8,James Bond,Casino Royale,930379,/m/03r0g9
Daniel Craig,charmer,James Bond,/m/0clpml,/m/04shbh,/m/02hw79s,M,38.0,1968.0,1.78,/m/04_bc8,James Bond,Casino Royale,930379,/m/03r0g9
Daniel Craig,cultured_badass,James Bond,/m/0clpml,/m/04shbh,/m/02hw79s,M,38.0,1968.0,1.78,/m/04_bc8,James Bond,Casino Royale,930379,/m/03r0g9
James Earl Jones,master_swordsman,Darth Vader,/m/0f2y0,/m/0f6_x,/m/02nwtmm,M,49.0,1931.0,1.87,/m/0x67,Darth Vader,Star Wars Episode V: The Empire Strikes Back,53964,/m/0f3m1
Ronald Lacey,psycho_for_hire,Major Arnold Toht,/m/026fvdw,/m/08j3wq,/m/02nwzyz,M,45.0,1935.0,,,,Indiana Jones and the Raiders of the Lost Ark,54166,/m/0f4yh
Jake Lloyd,child_prodigy,Anakin Skywalker,/m/0f2xj,/m/02p8dm,/m/02sg5rn,M,10.0,1989.0,1.7,,Anakin Skywalker,Star Wars Episode I: The Phantom Menace,50793,/m/0ddt_
Jake Lloyd,gadgeteer_genius,Anakin Skywalker,/m/0f2xj,/m/02p8dm,/m/02sg5rn,M,10.0,1989.0,1.7,,Anakin Skywalker,Star Wars Episode I: The Phantom Menace,50793,/m/0ddt_
Hayden Christensen,arrogant_kungfu_guy,Anakin Skywalker,/m/0f2xj,/m/0f276,/m/02sg5ry,M,24.0,1981.0,1.87,,Anakin Skywalker,Star Wars Episode III: Revenge of the Sith,55447,/m/0fdv3
Hayden Christensen,byronic_hero,Anakin Skywalker,/m/0f2xj,/m/0f276,/m/02sg5ry,M,24.0,1981.0,1.87,,Anakin Skywalker,Star Wars Episode III: Revenge of the Sith,55447,/m/0fdv3
Frank Oz,eccentric_mentor,Yoda,/m/0g_tb,/m/01vy_v8,/m/02sg6hm,M,35.0,1944.0,1.88,/m/041rx,,Star Wars Episode V: The Empire Strikes Back,53964,/m/0f3m1
Seth Rogen,slacker,Dale Denton,/m/04zk2_b,/m/05txrz,/m/02t9zmj,M,26.0,1982.0,1.797,/m/041rx,,Pineapple Express,9264341,/m/02825nf
Seth Rogen,stoner,Dale Denton,/m/04zk2_b,/m/05txrz,/m/02t9zmj,M,26.0,1982.0,1.797,/m/041rx,,Pineapple Express,9264341,/m/02825nf
Laura San Giacomo,ophelia,Crazy Cora,/m/0h32zqz,/m/0300lh,/m/02tb5g1,F,27.0,1962.0,1.57,,,Quigley Down Under,2688769,/m/07y2zw
Pauly Shore,surfer_dude,Crawl,/m/0h1wkk9,/m/01sbhvd,/m/02tb5qh,M,25.0,1968.0,1.71,/m/041rx,,Son in Law,3779953,/m/09_l5f
Samuel L. Jackson,dirty_cop,Abel Turner,/m/0bb9l1c,/m/0f5xn,/m/02tb650,M,59.0,1948.0,1.89,/m/0x67,,Lakeview Terrace,10133217,/m/02q2wnw
Peter Hinwood,dumb_blonde,Rocky Horror - A Creation,/m/04p32hn,/m/056gh8,/m/02tb6wq,M,29.0,1946.0,1.8,,,The Rocky Horror Picture Show,25491,/m/06cgf
Sean Astin,self_made_man,"Daniel \Rudy\"" Ruettiger""",/m/07ns0y5,/m/0svqs,/m/02tb8j3,M,22.0,1971.0,1.68,,,Rudy,286893,/m/01q48n
Hugh Jackman,cultured_badass,Leopold,/m/0chl378,/m/03h_9lg,/m/02tb9_v,M,33.0,1968.0,1.89,/m/0bbz66j,,Kate & Leopold,594240,/m/02thgf
Margarita Levieva,broken_bird,Annie Newton,/m/0h4zyt8,/m/02638yy,/m/02tbbww,F,27.0,1980.0,1.68,,,The Invisible,3703666,/m/09w8wv
Ivan Sergei,brainless_beauty,Matt Mateo,/m/0gfr4bq,/m/06khfv,/m/02tbdw7,M,27.0,1971.0,1.88,,,The Opposite of Sex,1204925,/m/04h41v
James Franco,stoner,Saul Silver,/m/04zk2zp,/m/05bnp0,/m/02vb3yc,M,30.0,1978.0,1.78,/m/048z7l,,Pineapple Express,9264341,/m/02825nf
Stephen Chow,gadgeteer_genius,Ling Ling Fat,/m/0h2s33m,/m/02mz_6,/m/02vb6nv,M,33.0,1962.0,1.74,/m/03bx0k4,,Forbidden City Cop,2634920,/m/07t8pq
Ben Kingsley,hitman_with_a_heart,Frank Falenczyk,/m/02r3d2y,/m/016k6x,/m/02vb7cx,M,63.0,1943.0,1.73,/m/0dryh9k,,You Kill Me,6559383,/m/0gbklz
John Cusack,loser_protagonist,Rob Gordon,/m/05h9q2q,/m/01gkmx,/m/02vb_jp,M,33.0,1966.0,1.87,/m/033tf_,,High Fidelity,160047,/m/025rxjq
James McAvoy,hitman_with_a_heart,Wesley Gibson,/m/03hfy9w,/m/06mnps,/m/02vb_l5,M,29.0,1979.0,1.7,/m/03lmx1,,Wanted,9395068,/m/0287477
Errol Flynn,loveable_rogue,Peter Blood,/m/0bhhsfq,/m/0hnp7,/m/02vb_m3,M,25.0,1909.0,1.88,/m/033tf_,,Captain Blood,61481,/m/0gncq
Anne Hathaway,klutz,Mia Thermopolis,/m/0466s44,/m/02vntj,/m/02vbfh2,F,20.0,1982.0,1.73,/m/02ctzb,Mia Thermopolis,The Princess Diaries,564986,/m/02qk_8
Brigitte Auber,classy_cat_burglar,Danielle Foussard,/m/0h5tw5b,/m/0gbq1d,/m/02vbgd1,F,27.0,1928.0,,,,To Catch a Thief,239009,/m/01jntj
Tim Robbins,corrupt_corporate_executive,Gary Winston,/m/0g_kxc3,/m/01nr36,/m/02vbk_v,M,42.0,1958.0,1.956,,Gary Winston,Antitrust,1152416,/m/04bsng
Jeremy Jordan,big_man_on_campus,Guy Perkins,/m/0cjcq3y,/m/01pp37j,/m/02vbkvz,M,25.0,1973.0,1.78,,,Never Been Kissed,2080169,/m/06ksnc
Adam Sandler,ditz,Chuck Levine,/m/0cr6b8j,/m/0pz91,/m/02vbl__,M,40.0,1966.0,1.78,/m/041rx,,I Now Pronounce You Chuck and Larry,5752544,/m/0f2sx4
Billie Whitelaw,eccentric_mentor,Aughra,/m/0h06vf8,/m/04jlgp,/m/02vbpft,F,50.0,1932.0,,,,The Dark Crystal,348292,/m/01yz89
Joseph Fiennes,romantic_runnerup,Proteus,/m/0bmkqf5,/m/0m31m,/m/02vc177,M,33.0,1970.0,1.83,/m/02w7gg,,Sinbad: Legend of the Seven Seas,281069,/m/01pptc
Ashley Tisdale,prima_donna,Sharpay Evans,/m/02nwg0x,/m/06tp4h,/m/02vc3dx,F,22.0,1985.0,1.6,/m/041rx,Sharpay Evans,High School Musical 2,4006786,/m/0bc5ny
Kevin Zegers,big_man_on_campus,Woody Deane,/m/0h29_rq,/m/054gt9,/m/02vc983,M,22.0,1984.0,1.75,,,It's a Boy Girl Thing,8067478,/m/026q8t0
Craig Bierko,casanova,Timothy,/m/0cb462_,/m/073wmn,/m/02vch3p,M,32.0,1964.0,1.89,/m/041rx,,The Long Kiss Goodnight,690042,/m/03305j
Michael McShane,absent_minded_professor,Professor Keenbean,/m/0h6dygh,/m/05tkfc,/m/02vchl3,M,39.0,1955.0,,,,Richie Rich,1486573,/m/0557n3
Bruce Campbell,corrupt_corporate_executive,Charles Travis,/m/0h0z03r,/m/01h8f,/m/02vclwl,M,36.0,1958.0,1.85,,,Congo,961437,/m/03tn80
Al Pacino,dirty_cop,Rooster,/m/0h6dd70,/m/0bj9k,/m/02vcq3r,M,68.0,1940.0,1.7,/m/0xnvg,,Righteous Kill,11288620,/m/02r6fhw
Rex Harrison,crazy_jealous_guy,Sir Alfred De Carter,/m/0k6xjb9,/m/0p9qb,/m/02vct43,M,40.0,1908.0,1.854,,,Unfaithfully Yours,3654363,/m/09shgs
Walter Matthau,grumpy_old_man,Max Goldman,/m/0h36kv8,/m/0gyy0,/m/02vcwz0,M,73.0,1920.0,1.892,/m/041rx,Max Goldman,Grumpy Old Men,1934018,/m/0676by
Pauly Shore,surfer_dude,Bud Macintosh,/m/0h1wkfp,/m/01sbhvd,/m/02vcwzp,M,27.0,1968.0,1.71,/m/041rx,,Bio-Dome,2198940,/m/06v9zs
John Cusack,byronic_hero,Brand Hauser,/m/0by40v1,/m/01gkmx,/m/02vczvr,M,41.0,1966.0,1.87,/m/033tf_,,War Inc.,7369863,/m/025_lpc
Aidan Gillen,evil_prince,Lord Nelson Rathbone,/m/0bnpfl_,/m/059t6d,/m/02vd4f4,M,34.0,1968.0,1.78,/m/03bkbh,,Shanghai Knights,194249,/m/01bl7g
Sam Bottoms,surfer_dude,Lance B. Johnson,/m/059nbkb,/m/08679c,/m/02vd4sl,M,23.0,1955.0,1.8,,,Apocalypse Now,18951054,/m/0jzw
Shih Kien,arrogant_kungfu_guy,Han,/m/0h6dvrs,/m/0b6p1b,/m/02vd8hn,M,60.0,1913.0,,,,Enter the Dragon,10193,/m/02rzb
Omri Katz,granola_person,Max Dennison,/m/06jll0_,/m/05xhwm,/m/02vd92w,M,17.0,1976.0,1.77,/m/04ydrsn,,Hocus Pocus,1962219,/m/06977k
Chris Klein,big_man_on_campus,Paul Metzler,/m/0g4t99t,/m/03ptnk,/m/02vdf9d,M,20.0,1979.0,1.85,/m/07hwkr,,Election,689969,/m/032_wv
Chris Klein,brainless_beauty,Paul Metzler,/m/0g4t99t,/m/03ptnk,/m/02vdf9d,M,20.0,1979.0,1.85,/m/07hwkr,,Election,689969,/m/032_wv
Kal Penn,slacker,Kumar Patel,/m/03h0df_,/m/03l3ln,/m/02vdfc2,M,31.0,1977.0,1.78,/m/0g0x7_,Kumar Patel,Harold & Kumar Escape from Guantanamo Bay,3412648,/m/09b4sb
Kathleen Turner,chanteuse,Jessica Rabbit,/m/02v8lw,/m/018_lb,/m/02wszk9,F,34.0,1954.0,1.727,/m/07hwkr,,Who Framed Roger Rabbit,76018,/m/0k2sk
Christopher Walken,corrupt_corporate_executive,Max Zorin,/m/053_9h,/m/016fjj,/m/02xl2ny,M,42.0,1943.0,1.83,/m/01qhm_,,A View to a Kill,583932,/m/02sg5v
Daniel Craig,heartbroken_badass,James Bond,/m/0clpml,/m/04shbh,/m/03hqwg_,M,40.0,1968.0,1.78,/m/04_bc8,James Bond,Quantum of Solace,2969247,/m/08gsvw
Adam Sandler,warrior_poet,Zohan,/m/0cb03np,/m/0pz91,/m/03hqx35,M,41.0,1966.0,1.78,/m/041rx,,You Don't Mess with the Zohan,9513043,/m/02ph9tm
Russell Crowe,fastest_gun_in_the_west,Ben Wade,/m/03hqx_q,/m/06dv3,/m/03hqy08,M,43.0,1964.0,1.8,/m/05748,,3:10 to Yuma,4270540,/m/0btbyn
Deborah Foreman,valley_girl,Julie Richman,/m/096452v,/m/0341ht,/m/03jprhz,F,20.0,1962.0,1.65,,,Valley Girl,2406870,/m/079xtj
Roger Allam,corrupt_corporate_executive,Royalton,/m/0bj9dj9,/m/046xyf,/m/03jqz37,M,54.0,1953.0,1.82,/m/02w7gg,,Speed Racer,8737659,/m/027gy0k
Kevin Gage,psycho_for_hire,Waingro,/m/0h60x3r,/m/07f469,/m/03jrl1d,M,36.0,1959.0,,,,Heat,43566,/m/0bxsk
Kevin J. O'Connor,coward,Beni Gabor,/m/045rkb1,/m/09t254,/m/03jskk3,M,35.0,1963.0,1.85,,,The Mummy,253828,/m/01ln5z
Rutger Hauer,bounty_hunter,Nick Randall,/m/0h2n0xs,/m/09byk,/m/03jsm0f,M,42.0,1944.0,1.85,/m/05l3g_,,Wanted: Dead or Alive,3394852,/m/0999cx
Peter Facinelli,big_man_on_campus,Mike Dexter,/m/0b7bkhp,/m/07ncs0,/m/03jsnmf,M,24.0,1973.0,1.77,/m/0xnvg,,Can't Hardly Wait,475977,/m/02f25m
Peter Facinelli,jerk_jock,Mike Dexter,/m/0b7bkhp,/m/07ncs0,/m/03jsnmf,M,24.0,1973.0,1.77,/m/0xnvg,,Can't Hardly Wait,475977,/m/02f25m
William Petersen,retired_outlaw,Patrick Floyd 'Pat' Garrett,/m/0h30sfb,/m/038bht,/m/03jsysn,M,37.0,1953.0,1.791,/m/0dqqwy,,Young Guns II,675213,/m/031zk3
Chris Bauer,psycho_for_hire,George Higgins,/m/0glls2h,/m/08s_lw,/m/03jsz47,M,32.0,1966.0,1.89,,,8mm,1364770,/m/04wzkz
Ken Watanabe,father_to_his_men,General Kuribayashi,/m/0gkf3tl,/m/01_s7f,/m/03jtctp,M,47.0,1959.0,1.85,/m/019kn7,,Letters from Iwo Jima,14725310,/m/0gy0l_
Lennie James,stupid_crooks,Sol,/m/0br0cgl,/m/034js0,/m/03jtd2p,M,34.0,1965.0,1.765,/m/04608z,,Snatch,707808,/m/034hwx
David Cross,corrupt_corporate_executive,Ian Hawke,/m/07ylvbk,/m/0738b8,/m/03kyztz,M,43.0,1964.0,1.75,/m/03vv99,Ian Hawke,Alvin and the Chipmunks,11244593,/m/02r4y3t
Tom Waits,trickster,Mr. Nick,/m/07ym4h3,/m/03h_fqv,/m/03kz4l5,M,59.0,1949.0,1.803,,,The Imaginarium of Dr. Parnassus,11312191,/m/02r79_h
Bruce Greenwood,father_to_his_men,Christopher Pike,/m/0pk21,/m/01yfm8,/m/03ld2yg,M,52.0,1956.0,1.8,/m/044038p,,Star Trek,3071743,/m/08phg9
Javier Bardem,psycho_for_hire,Anton Chigurh,/m/0dsbmr9,/m/01713c,/m/03lgvz6,M,38.0,1969.0,1.83,/m/03ttfc,,No Country for Old Men,3920193,/m/0b6tzs
Kevin Peter Hall,egomaniac_hunter,The Predator,/m/03q1l23,/m/0473wx,/m/03lpp78,M,35.0,1955.0,2.2,/m/0x67,The Predator,Predator 2,620034,/m/02xd2b
Emilio Estevez,young_gun,William H. 'Billy the Kid' Bonney,/m/0gyhwpk,/m/01z7s_,/m/03lrjk0,M,28.0,1962.0,1.638,/m/042gtr,,Young Guns II,675213,/m/031zk3
Benicio del Toro,pupil_turned_to_evil,Aaron Hallam,/m/0c1lc1g,/m/01qscs,/m/03ls4jv,M,36.0,1967.0,1.85,/m/09v5bdn,,The Hunted,690105,/m/0330ds
Robbie Gee,stupid_crooks,Vinny,/m/0br0cj1,/m/034jts,/m/03lsltz,M,36.0,1964.0,,,,Snatch,707808,/m/034hwx
Elizabeth Hurley,brainless_beauty,Brace Channing,/m/0gd0_2q,/m/01pnn3,/m/03lvf22,F,33.0,1965.0,1.73,/m/02w7gg,,My Favorite Martian,7887331,/m/026hpg_
Simon Pegg,loser_protagonist,Dennis,/m/0gxnhw4,/m/012x2b,/m/03lvx8n,M,37.0,1970.0,1.78,,,"Run, Fat Boy, Run",8172248,/m/026rrf_
Ashley Tisdale,prima_donna,Sharpay Evans,/m/02nwg0x,/m/06tp4h,/m/03lyytc,F,23.0,1985.0,1.6,/m/041rx,Sharpay Evans,High School Musical 3: Senior Year,9391085,/m/0286_hv
Dakota Fanning,junkie_prophet,Cassie Holmes,/m/0gxnnm3,/m/0fthdk,/m/040kc5w,F,14.0,1994.0,1.63,/m/01qhm_,,Push,13237979,/m/03bzwns
Simon Pegg,loser_protagonist,Sidney Young,/m/0gxnhyk,/m/012x2b,/m/040l_q8,M,38.0,1970.0,1.78,,,How to Lose Friends & Alienate People,14280823,/m/03c_4fq
Josh Peck,stoner,Luke Shapiro,/m/0h16l5j,/m/034047,/m/040lm10,M,21.0,1986.0,1.83,/m/041rx,,The Wackness,13947064,/m/03cp0zq
Jeremy Davies,coward,Cpl. Timothy P. Upham,/m/0bnls0w,/m/078mgh,/m/040qvsz,M,28.0,1969.0,1.75,,,Saving Private Ryan,28269,/m/07024
Christopher Plummer,egomaniac_hunter,Charles Muntz,/m/05ssfhp,/m/01ycbq,/m/045_c9z,M,79.0,1929.0,1.778,/m/044038p,,Up,11659396,/m/02rn00y
Ed Asner,grumpy_old_man,Carl Fredricksen,/m/05ssfj5,/m/02tkzn,/m/045_cb3,M,79.0,1929.0,1.7,,,Up,11659396,/m/02rn00y
Ronny Cox,the_chief,Lt. Andrew Bogomil,/m/0h5r4kj,/m/032qgs,/m/045xnnw,M,46.0,1938.0,1.88,,,Beverly Hills Cop,680398,/m/032cs4
Busy Philipps,valley_girl,Karen,/m/0h2jt3r,/m/05bmn7,/m/045xr4n,F,24.0,1979.0,1.67,,,White Chicks,871056,/m/03k9bl
Morgan Freeman,gadgeteer_genius,Lucius Fox,/m/03zql5,/m/055c8,/m/045yrqg,M,71.0,1937.0,1.88,/m/0x67,Lucius Fox,The Dark Knight,4276475,/m/0btpm6
Viggo Mortensen,cultured_badass,Everett Hitch,/m/0gy9zlv,/m/01ps2h8,/m/04601vx,M,49.0,1958.0,1.803,/m/0dqqwy,,Appaloosa,15398161,/m/03m71s1
Alexis Dziena,brainless_beauty,Gemma Honeycutt,/m/0gyjz5c,/m/07jwkn,/m/04dddz5,F,23.0,1984.0,1.57,/m/0xnvg,,Fool's Gold,14291637,/m/03c_lhp
Anna Faris,brainless_beauty,Shelley Darlingson,/m/0c1hqmz,/m/01pk3z,/m/04dgw4t,F,31.0,1976.0,1.65,/m/07bch9,,The House Bunny,18640305,/m/0408m53
Humphrey Bogart,hardboiled_detective,Sam Spade,/m/027zkw,/m/03n6r,/m/04dmkpj,M,,1899.0,1.74,/m/07mqps,Sam Spade,The Maltese Falcon,4593958,/m/0cbn7c
Matthew Broderick,charmer,Harold Hill,/m/09j606t,/m/01vlj1g,/m/04hv61w,M,40.0,1962.0,1.73,/m/041rx,Harold Hill,The Music Man,6917005,/m/0gwypk
Matthew Broderick,loveable_rogue,Harold Hill,/m/09j606t,/m/01vlj1g,/m/04hv61w,M,40.0,1962.0,1.73,/m/041rx,Harold Hill,The Music Man,6917005,/m/0gwypk
Paul Newman,retired_outlaw,Butch Cassidy,/m/0gfnj6s,/m/0d6d2,/m/04ky2tz,M,44.0,1925.0,1.77,/m/027n1m6,,Butch Cassidy and the Sundance Kid,99031,/m/0p9tm
Amanda Righetti,final_girl,Whitney Miller,/m/08lcsjv,/m/04zz22,/m/04ls8ty,F,25.0,1983.0,1.74,/m/02ctzb,,Friday the 13th,13053911,/m/04czgnm
James Marsden,romantic_runnerup,Lon Hammond Jr.,/m/02nwq01,/m/042ly5,/m/04lsjwd,M,31.0,1973.0,1.79,,,The Notebook,17917662,/m/047tsx3
Ben Kingsley,evil_prince,Nizam,/m/07ylpzy,/m/016k6x,/m/04m5488,M,66.0,1943.0,1.73,/m/0dryh9k,,Prince of Persia: The Sands of Time,5866831,/m/047gn4y
Luke Goss,evil_prince,Prince Nuada,/m/0ghfm4n,/m/06z09y,/m/04m9lhl,M,39.0,1968.0,1.85,/m/02w7gg,,Hellboy 2: The Golden Army,5292154,/m/0dcz8_
Robert Shaw,psycho_for_hire,Red Grant,/m/04dqbc,/m/0164r9,/m/04p7pxj,M,36.0,1927.0,1.8,/m/02w7gg,,From Russia with Love,6446071,/m/025twgt
Johnny Depp,broken_bird,Mad Hatter,/m/0184s5,/m/0jfx1,/m/04q4dng,M,46.0,1963.0,1.78,/m/01qhm_,,Alice in Wonderland,14482638,/m/04jpg2p
Everett McGill,psycho_for_hire,Col. Paul Tanner,/m/0gd0_px,/m/09c8fj,/m/04q604c,M,51.0,1945.0,1.89,,,My Fellow Americans,798584,/m/03cygf
Ted Knight,grumpy_old_man,Judge Elihu Smails,/m/04w0v_y,/m/033jg6,/m/04w0v_v,M,56.0,1923.0,1.75,,,Caddyshack,217982,/m/01fxw4
Alex Karras,dumb_muscle,Mongo,/m/04w0vjr,/m/03l7gl,/m/04w0vjn,M,38.0,1935.0,1.88,,,Blazing Saddles,3837,/m/018f8
Morgan Freeman,retired_outlaw,Ned Logan,/m/04xg259,/m/055c8,/m/04xg29q,M,55.0,1937.0,1.88,/m/0x67,,Unforgiven,133574,/m/0_92w
Danny McBride,stoner,Red,/m/04zk2_n,/m/02wycg2,/m/04zk2_k,M,31.0,1976.0,1.78,/m/03bkbh,,Pineapple Express,9264341,/m/02825nf
Claude Rains,loveable_rogue,Capt. Louis Renault,/m/047y0bb,/m/0h1q6,/m/05286qg,M,,1889.0,1.69,,,Casablanca,57585,/m/0ft18
Lee Byung-Hun,arrogant_kungfu_guy,Storm Shadow,/m/071s36,/m/04t5vf,/m/052dfd5,M,39.0,1970.0,1.77,/m/01xhh5,,G.I. Joe: The Rise of Cobra,13734892,/m/03qcfvw
Kevin James,loser_protagonist,Paul Blart,/m/0gyp72m,/m/03xb2w,/m/059sm0m,M,43.0,1965.0,1.73,,,Paul Blart: Mall Cop,16368206,/m/03why2r
Anna Faris,dumb_blonde,Brandi,/m/0gy9z5m,/m/01pk3z,/m/059sp8v,F,32.0,1976.0,1.65,/m/07bch9,,Observe and Report,17916735,/m/047m6mv
Clint Eastwood,grumpy_old_man,Walt Kowalski,/m/059t438,/m/0bwh6,/m/059t435,M,78.0,1930.0,1.88,/m/09vc4s,,Gran Torino,17016725,/m/04q01mn
Jason Lee,bromantic_foil,Banky Edwards,/m/03f62k,/m/034np8,/m/05ckj7h,M,26.0,1970.0,1.87,,,Chasing Amy,60293,/m/0gd92
